ID;type;labels;word_counts;num_sentences;num_syllables;avg_syllables_per_word;fk_grade;fk_read;Analytic;Authentic;Tone;tone_pos;tone_neg;focuspast;focuspresent;focusfuture;Cognition;memory;Self-reference;Other-reference;Contextual Embedding;Perceptual Details;Reality Monitoring;concr_score;Temporal details;Spatial details;People;Quantity details
17;E;T;80;4;126;1.575;11.1;51.18;43.4;36.72;20.23;2.5;2.5;1.25;5;0;25;0;1.25;2.5;6.25;0;-13.75;2.503461538;0;0;0;0
17;G;T;104;5;156;1.5;10.2;58.82;33.67;44.14;10.65;2.88;3.85;0.96;6.73;0;18.27;0;4.8;0.96;8.65;1.92;-0.97;2.727777778;0;0;0;0
17;M;F;86;5;142;1.651162791;11.2;45.56;79.24;16.67;9.15;3.49;4.65;1.16;4.65;0;6.98;0;4.65;2.33;10.47;0;11.63;2.948787879;0;1.162790698;0;0
17;C;T;100;4;150;1.5;11.9;54.56;57.7;1.46;10.35;2;3;3;5;0;11;0;1;3;4;1;-1;2.736111111;0;0;0;0
18;A;F;43;4;62;1.441860465;5.1;77.43;8.25;82.44;1;0;4.65;0;4.65;0;37.21;0;9.3;2.33;2.33;0;-30.23;2.684166667;0;0;0;0
18;E;T;54;5;66;1.222222222;2.8;94.35;49.68;77.17;48.44;1.85;0;0;9.26;0;22.22;0;5.55;0;5.55;0;-14.82;3.03125;0;0;0;0
18;G;T;59;5;83;1.431034483;5.5;76.62;7.46;65.66;45.75;1.69;0;0;8.47;3.39;23.73;0;6.77;1.69;1.69;0;-20.35;2.474210526;0;0;0;0
18;M;F;41;4;49;1.195121951;2.6;94.86;6.47;59.99;58.42;2.44;0;2.44;7.32;0;19.51;0;4.88;2.44;9.76;0;-7.31;3.216666667;0;0;0;0
18;C;T;44;4;55;1.25;4;85.69;3.27;2.02;86.79;6.82;2.27;0;4.55;0;34.09;0;2.27;0;6.82;2.27;-15.91;2.876153846;0;0;0;0
19;A;F;45;2;67;1.522727273;10.7;57.61;53.05;93.95;1;0;11.11;2.22;8.89;2.22;22.22;0;0;0;8.89;0;-2.22;3.075294118;0;0;0;0
19;E;T;59;3;92;1.586206897;10.8;51.89;43.72;76.13;1.14;1.69;5.08;0;5.08;0;23.73;0;0;0;10.16;3.38;-3.41;2.686315789;0;0;0;1.694915254
19;G;T;74;4;99;1.356164384;8.1;69.82;39.7;44.33;20.23;0;0;5.33;4;1.33;13.33;0;1.33;8;12;1.33;1.33;2.946;1.351351351;0;0;1.351351351
19;M;F;49;3;63;1.285714286;6.1;80.31;11.13;66.12;51.68;2.04;0;2.04;6.12;0;12.24;0;10.2;10.2;20.4;0;10.2;2.796153846;0;0;0;0
19;C;T;50;4;79;1.58;8.2;58.79;15.41;1;20.23;4;4;8;8;0;14;0;0;2;4;0;-2;2.759090909;0;0;0;0
20;A;F;54;4;70;1.296296296;5;83.15;55.25;1.17;1;0;9.26;1.85;3.7;0;16.67;0;3.7;1.85;7.4;0;-0.01;3.171764706;0;0;0;0
20;E;T;69;5;101;1.463768116;7.5;65.93;12.27;4.38;20.23;4.35;4.35;2.9;7.25;2.9;18.84;0;5.8;2.9;10.15;0;0.01;2.897083333;0;0;0;0
20;G;T;60;4;86;1.457627119;7.9;64.91;18.61;63.35;20.23;0;0;6.67;6.67;0;30;0;0;1.67;8.33;3.34;-18.33;2.75;0;0;0;0
20;M;F;50;4;69;1.408163265;5.7;75.91;39.7;1;50.98;6;4;0;6;0;14;0;6;4;8;2;6;3.022;0;0;0;0
20;C;T;75;4;131;1.746666667;11.8;43.93;10.19;8.82;7.99;2.67;4;1.33;8;0;18.67;0;1.33;0;6.67;0;-5.33;2.8325;0;0;0;2.666666667
21;A;F;54;4;69;1.408163265;5.7;75.91;19.76;27.44;5.19;0;1.85;1.85;5.56;0;20.37;0;3.7;7.41;11.11;0;-7.41;2.914375;0;0;0;0
21;E;T;114;6;147;1.3125;7;77.87;27.21;28.03;2.53;0;2.63;0;3.51;1.75;31.58;0;5.26;6.14;8.77;0;-20.18;2.694814815;0;0;0;0.877192982
21;G;T;89;4;105;1.280487805;7.7;76.05;14.81;14.79;36.25;5.62;4.49;3.37;4.49;0;17.98;0;2.24;7.87;3.37;1.12;-3.38;3.081666667;0;0;0;0
21;M;F;49;3;62;1.347826087;5.7;81.33;4.63;66.12;20.23;4.08;4.08;0;4.08;0;14.29;0;8.16;4.08;20.41;0;14.28;3.365384615;0;0;0;0
21;C;T;97;5;141;1.516129032;9.4;61.06;10.66;3.69;4.31;1.03;3.09;2.06;8.25;0;16.49;0;3.09;2.06;6.18;1.03;-5.16;3.225769231;0;0;0;1.030927835
22;A;F;75;7;100;1.351351351;5.1;77.64;16.64;26.54;1;1.33;12;2.67;6.67;4;29.33;0;0;1.33;12;0;-4;2.93826087;0;0;0;0
22;E;T;126;7;171;1.368;7.9;70.23;35.59;4.44;6.51;2.38;3.97;13.49;0.79;0;10.32;0;5.56;7.14;7.93;1.59;5.55;3.28972973;0.793650794;0;0;0
22;G;T;88;5;125;1.453488372;8.8;62.48;12.37;2.02;73.53;5.68;2.27;2.27;7.95;0;27.27;0;0;5.68;4.55;1.14;-13.63;2.531666667;0;1.136363636;0;0
22;M;F;76;6;125;1.644736842;8.2;58.58;40.49;3.19;1;0;6.58;2.63;5.26;0;11.84;0;5.26;5.26;13.16;0;7.9;2.994827586;0;1.315789474;0;0
22;C;T;83;5;114;1.373493976;7.4;71.55;31.57;90.36;20.23;1.2;1.2;2.41;4.82;3.61;19.28;0;7.23;0;9.63;1.2;-6.04;3.131666667;0;0;0;0
23;A;F;48;4;65;1.547619048;6.2;69.28;26.1;1;4.22;2.08;4.17;0;8.33;0;16.67;0;0;4.17;4.16;0;-6.26;3.3425;0;0;0;0
23;E;T;61;4;92;1.533333333;8;64.71;40.68;11.41;44.83;4.92;3.28;3.28;4.92;0;18.03;0;4.92;1.64;3.28;0;-6.55;2.978846154;0;0;0;0
23;G;T;45;4;65;1.477272727;6.4;68.77;59.67;32.09;54.76;2.22;0;0;6.67;0;22.22;0;4.44;2.22;6.66;0;-13.34;2.469333333;0;2.222222222;0;0
23;M;F;36;4;46;1.352941176;4.2;79.77;41.36;10.18;93.93;5.56;0;0;2.78;0;8.33;0;2.78;2.78;13.9;0;11.13;3.358461538;0;2.777777778;0;0
23;C;T;54;4;77;1.452830189;7.3;66.44;55.25;5.41;5.19;1.85;3.7;0;11.11;0;14.81;0;1.85;0;7.41;0;-1.84;3.014;0;0;0;0
24;A;F;65;2;87;1.359375;13.4;55.92;27.08;2.93;1;0;12.31;0;10.77;0;23.08;0;1.54;1.54;0;0;-10.77;3.115263158;0;0;0;0
24;E;T;43;4;57;1.390243902;4.9;77.94;1.2;82.44;1;2.33;6.98;0;13.95;2.33;32.56;0;9.31;2.33;0;0;-23.26;2.466;0;0;0;0
24;G;T;121;8;165;1.398305085;6.7;73.37;30.9;18.71;72.05;3.31;0;0;8.26;2.48;19.83;0;6.62;2.48;7.44;0;-9.08;2.995428571;0;0;0;2.479338843
24;M;F;6;1;7;1.166666667;0.9;99.23;49.68;99;20.23;0;0;0;0;16.67;0;0;0;0;33.33;0;33.33;4.026666667;0;0;0;0
24;C;T;64;5;80;1.290322581;4.6;84.27;43.4;15.38;1;0;4.69;1.56;9.38;0;18.75;0;3.12;0;7.81;0;-6.25;3.025263158;0;0;0;1.5625
25;A;F;26;4;31;1.192307692;1.1;98.72;21.6;1;20.23;0;0;0;3.85;3.85;15.38;0;0;11.54;3.85;0;-11.53;4.215714286;0;0;0;0
25;E;T;19;4;20;1.052631579;-0.8;108.9;52.34;70.28;1;0;5.26;0;10.53;0;10.53;0;10.53;0;0;0;-5.27;3.032857143;0;0;0;0
25;G;T;26;4;34;1.36;3.4;82;1.3;57.98;79.29;3.85;0;3.85;3.85;0;30.77;0;7.69;3.85;0;0;-26.92;3.238571429;0;0;0;0
25;M;F;23;4;28;1.217391304;0.8;99.43;14.64;44.75;20.23;0;0;0;13.04;0;13.04;0;0;21.74;21.74;0;8.7;2.834285714;0;4.347826087;0;0
25;C;T;29;4;33;1.222222222;1.2;98.41;47.93;2.1;1;0;13.79;0;0;0;13.79;0;0;6.9;0;6.9;6.9;3.187272727;0;0;0;0
26;A;F;58;4;81;1.396551724;6.6;73.68;95.02;1;1;1.72;8.62;0;1.72;1.72;18.97;0;3.44;0;6.9;0;-1.73;2.851363636;0;0;0;0
26;E;T;63;4;84;1.423728814;6.7;73.37;37.85;67.59;1.48;3.17;6.35;3.17;9.52;3.17;15.87;0;7.93;4.76;9.52;3.17;6.34;2.804166667;0;0;0;0
26;G;T;93;5;129;1.417582418;8;69.92;72.68;12.67;35.47;2.15;1.08;3.23;7.53;0;16.13;0;0;0;8.6;1.08;-3.22;2.724285714;0;0;1.075268817;0
26;M;F;69;4;104;1.552238806;9.8;54.42;94.33;7.4;7.29;1.45;2.9;0;4.35;0;20.29;0;4.35;0;14.5;0;-1.44;2.64;0;1.449275362;0;0
26;C;T;71;4;105;1.5;8.9;62.17;9.57;2.25;20.23;2.82;2.82;1.41;2.82;0;21.13;0;1.41;1.41;7.04;0;-8.46;2.690833333;0;0;0;0
27;A;F;22;4;27;1.285714286;1.8;91.48;20.83;5.07;1;0;22.73;0;22.73;4.55;9.09;0;0;4.55;0;0;13.64;3.381111111;0;0;0;0
27;E;T;69;4;101;1.463768116;8.9;62.38;23.51;99;1;2.9;11.59;0;7.25;1.45;20.29;0;14.49;0;11.6;1.45;7.25;2.618947368;0;0;0;0
27;G;T;70;5;92;1.352941176;6.2;74.59;4.78;63.35;84.26;4.29;0;1.43;2.86;0;34.29;0;2.86;4.29;8.57;0;-21.43;2.770869565;0;0;0;1.428571429
27;M;F;84;8;101;1.202380952;2.7;94.66;42.52;18.08;37.34;4.76;3.57;0;2.38;1.19;15.48;0;2.38;9.52;14.28;5.95;13.08;3.251785714;0;0;0;1.19047619
27;C;T;64;5;97;1.515625;7.1;66.94;3.43;93.71;20.23;3.13;3.13;3.13;10.94;0;15.63;0;6.25;3.13;14.07;0;4.69;2.9616;0;0;0;0
28;A;F;9;1;14;1.555555556;6.8;62.34;33.38;1;1;0;33.33;0;22.22;0;11.11;0;0;0;0;0;22.22;3.616666667;0;0;0;0
28;E;T;34;1;44;1.294117647;13;62.35;5.02;93.5;66.58;2.94;0;2.94;11.76;0;20.59;0;2.94;0;11.76;0;-5.89;2.995714286;0;0;0;0
28;G;T;29;2;38;1.310344828;5.4;82.14;1;21.61;74.09;3.45;0;0;10.34;0;24.14;0;10.35;6.9;3.45;0;-17.24;2.94875;0;0;0;0
28;M;F;6;1;11;1.833333333;8;48.47;99;1;1;0;33.33;0;0;0;0;0;0;0;0;0;33.33;2.97;0;0;0;0
28;C;T;32;2;48;1.5;8.4;63.7;52.84;15.38;69.4;3.13;0;0;6.25;0;9.38;0;3.13;0;6.25;0;-1.78E-15;2.817777778;0;0;0;0
29;A;F;38;4;54;1.421052632;4.6;78.75;44.4;8.42;20.23;5.26;5.26;0;10.53;0;18.42;0;2.63;2.63;2.63;0;-5.26;2.958125;0;0;0;0
29;E;T;71;4;94;1.323943662;6.7;78.79;69.43;94.15;83.63;4.23;0;0;11.27;0;16.9;0;7.04;1.41;8.45;0;-4.22;2.912727273;0;0;0;0
29;G;T;46;4;64;1.454545455;6.4;68.77;11.2;99;3.88;0;2.17;0;6.52;0;26.09;0;15.21;0;4.34;4.34;-15.24;2.208666667;0;0;0;0
29;M;F;61;5;80;1.355932203;5.5;76.42;16.31;6.65;6.23;0;1.64;0;8.2;0;19.67;0;8.2;0;1.64;3.28;-13.11;2.528571429;0;0;0;0
29;C;T;49;4;72;1.531914894;6.7;67.96;8.47;3.57;20.23;4.08;4.08;2.04;2.04;0;18.37;0;8.16;0;2.04;2.04;-6.13;2.996111111;0;0;0;0
30;A;F;119;9;164;1.378151261;6.1;75;36.8;46.57;6.01;1.68;3.36;0.84;6.72;0.84;20.17;0;0.84;4.2;11.76;0.84;-2.53;3.094680851;0.840336134;0;0;0
30;E;T;78;5;102;1.342105263;5.7;81.43;10.19;94.47;1;1.28;7.69;0;8.97;0;23.08;0;2.56;10.25;17.95;3.85;7.69;2.38875;0;0;0;0
30;G;T;75;5;98;1.342465753;5.4;82.04;14.24;35.01;62.2;4;1.33;1.33;8;0;24;0;2.66;1.33;12;0;-6.67;2.873636364;0;0;0;2.666666667
30;M;F;85;8;103;1.211764706;2.7;94.56;10.73;30.4;20.23;4.71;4.71;4.71;4.71;2.35;20;0;3.53;10.59;11.77;1.18;2.36;2.621071429;1.176470588;0;0;0
30;C;T;84;6;115;1.369047619;6.4;74.19;4.26;95.34;75.77;4.76;1.19;0;4.76;0;25;0;8.33;1.19;9.52;2.38;-7.15;2.692962963;0;0;0;0
